2009,,Nunavut,Total expenditure,84439
2009,,Nunavut,Total current consumption,60900
2009,,Nunavut,Food,14815
2009,,Nunavut,Shelter,12824
2009,,Nunavut,Household operation,4285
2009,,Nunavut,Household furnishings and equipment,2400
2009,,Nunavut,Clothing,4257
2009,,Nunavut,Transportation,6372
2009,,Nunavut,Health care,711
2009,,Nunavut,Personal care,1220
2009,,Nunavut,Recreation,6698
2009,,Nunavut,Reading materials and other printed matter,143
2009,,Nunavut,Education,F
2009,,Nunavut,Tobacco products and alcoholic beverages,4806
2009,,Nunavut,Games of chance (net),452
2009,,Nunavut,Miscellaneous expenditures,1354
2009,,Nunavut,Personal taxes,15781
2009,,Nunavut,Personal insurance payments and pension contributions,5198
2009,,Nunavut,Gifts of money and contributions,2560
2009,St.John's,Newfoundland and Labrador,Total expenditure,71715
2009,St.John's,Newfoundland and Labrador,Total current consumption,51200
2009,St.John's,Newfoundland and Labrador,Food,6946
2009,St.John's,Newfoundland and Labrador,Shelter,13487
2009,St.John's,Newfoundland and Labrador,Household operation,3663
2009,St.John's,Newfoundland and Labrador,Household furnishings and equipment,2323
2009,St.John's,Newfoundland and Labrador,Clothing,2911
2009,St.John's,Newfoundland and Labrador,Transportation,10870
2009,St.John's,Newfoundland and Labrador,Health care,2004
2009,St.John's,Newfoundland and Labrador,Personal care,1241
2009,St.John's,Newfoundland and Labrador,Recreation,3870
2009,St.John's,Newfoundland and Labrador,Reading materials and other printed matter,221
2009,St.John's,Newfoundland and Labrador,Education,1023
2009,St.John's,Newfoundland and Labrador,Tobacco products and alcoholic beverages,1834
2009,St.John's,Newfoundland and Labrador,Games of chance (net),201
2009,St.John's,Newfoundland and Labrador,Miscellaneous expenditures,607
2009,St.John's,Newfoundland and Labrador,Personal taxes,14834
2009,St.John's,Newfoundland and Labrador,Personal insurance payments and pension contributions,4510
2009,St.John's,Newfoundland and Labrador,Gifts of money and contributions,1171
2009,Charlottetown and Summerside,Prince Edward Island,Total expenditure,58522
2009,Charlottetown and Summerside,Prince Edward Island,Total current consumption,42872
2009,Charlottetown and Summerside,Prince Edward Island,Food,6497
2009,Charlottetown and Summerside,Prince Edward Island,Shelter,11818
2009,Charlottetown and Summerside,Prince Edward Island,Household operation,3257
